Individual 	Attrition	Age	BusinessTravel	DailyRate	Department	DistanceFromHome	Education	EducationField	EmployeeCount	EmployeeNumber	EnvironmentSatisfaction	Gender	HourlyRate	JobInvolvement	JobLevel	JobRole	JobSatisfaction	MaritalStatus	MonthlyIncome	MonthlyRate	NumCompaniesWorked	OverTime	PercentSalaryHike	PerformanceRating	RelationshipSatisfaction	StandardHours	StockOptionLevel	TotalWorkingYears	TrainingTimesLastYear	WorkLifeBalance	YearsAtCompany	YearsInCurrentRole	YearsSinceLastPromotion	YearsWithCurrManager
Ind178	Yes	19	1	303	2	2	3	1	1	243	2	1	47	2	1	3	4	1	1102	9241	1	2	22	4	3	80	0	1	3	2	1	0	1	0
Ind179	No	46	1	526	1	1	2	3	1	244	2	2	92	3	3	1	1	3	10453	2137	1	2	25	4	3	80	3	24	2	3	24	13	15	7
Ind180	No	38	1	1380	2	9	2	1	1	245	3	2	75	3	1	3	4	1	2288	6319	1	2	12	3	3	80	0	2	3	3	2	2	2	1
Ind181	No	31	1	140	2	12	1	2	1	246	3	2	95	3	1	2	4	2	3929	6984	8	1	23	4	3	80	1	7	0	3	4	2	0	2
Ind182	No	34	1	629	2	27	2	2	1	247	4	2	95	3	1	2	2	1	2311	5711	2	2	15	3	4	80	0	9	3	3	3	2	1	2
Ind183	Yes	41	1	1356	1	20	2	3	1	248	2	2	70	3	1	7	2	1	3140	21728	1	1	22	4	4	80	0	4	5	2	4	3	0	2
Ind184	No	50	1	328	2	1	3	2	1	249	3	1	86	2	1	3	3	2	3690	3425	2	2	15	3	4	80	1	5	2	2	3	2	0	2
Ind185	No	53	1	1084	2	13	2	2	1	250	4	2	57	4	2	4	1	3	4450	26250	1	2	11	3	3	80	2	5	3	3	4	2	1	3
Ind186	No	33	1	931	2	14	3	2	1	252	4	2	72	3	1	2	2	2	2756	4673	1	2	13	3	4	80	1	8	5	3	8	7	1	6
Ind187	No	40	1	989	2	4	1	2	1	253	4	2	46	3	5	6	3	2	19033	6499	1	2	14	3	2	80	1	21	2	3	20	8	9	9
Ind188	No	55	1	692	2	14	4	2	1	254	3	1	61	4	5	8	2	1	18722	13339	8	2	11	3	4	80	0	36	3	3	24	15	2	15
Ind189	No	34	2	1069	2	2	1	1	1	256	4	1	45	2	2	4	3	2	9547	14074	1	2	17	3	3	80	0	10	2	2	10	9	1	9
Ind190	No	51	1	313	2	3	3	2	1	258	4	2	98	3	4	5	2	1	13734	7192	3	2	18	3	3	80	0	21	6	3	7	7	1	0
Ind191	No	52	1	699	2	1	4	1	1	259	3	1	65	2	5	6	3	2	19999	5678	0	2	14	3	1	80	1	34	5	3	33	18	11	9
Ind192	No	27	1	894	2	9	3	2	1	260	4	2	99	3	1	2	2	1	2279	11781	1	2	16	3	4	80	0	7	2	2	7	7	0	3
Ind193	Yes	35	1	556	2	23	2	1	1	261	2	1	50	2	2	4	3	2	5916	15497	3	1	13	3	1	80	0	8	1	3	1	0	0	1
Ind194	No	43	3	1344	2	7	3	2	1	262	4	1	37	4	1	2	4	3	2089	5228	4	2	14	3	4	80	3	7	3	4	5	4	2	2
Ind195	No	45	3	1195	2	2	2	2	1	264	1	1	65	2	4	6	4	2	16792	20462	9	2	23	4	4	80	1	22	1	3	20	8	11	8
Ind196	No	37	1	290	2	21	3	1	1	267	2	1	65	4	1	2	1	2	3564	22977	1	1	12	3	1	80	1	8	3	2	8	7	1	7
Ind197	No	35	2	138	2	2	3	2	1	269	2	2	37	3	2	3	2	1	4425	15986	5	2	11	3	4	80	0	10	5	3	6	2	1	2
Ind198	No	42	3	926	2	21	2	2	1	270	3	2	36	3	2	4	3	3	5265	16439	2	2	16	3	2	80	1	11	5	3	5	3	0	2
Ind199	No	38	1	1261	2	2	4	1	1	271	4	1	88	3	2	4	3	2	6553	7259	9	2	14	3	2	80	0	14	3	3	1	0	0	0
Ind200	No	38	1	1084	2	29	3	4	1	273	4	1	54	3	2	4	4	2	6261	4185	3	2	18	3	1	80	1	9	3	1	7	7	1	7
Ind201	No	27	2	472	2	1	1	4	1	274	3	1	60	2	2	4	1	2	4298	9679	5	2	19	3	3	80	1	6	1	3	2	2	2	0
Ind202	No	49	3	1002	2	18	4	1	1	275	4	1	92	3	2	4	4	3	6804	23793	1	1	15	3	1	80	2	7	0	3	7	7	1	7
Ind203	No	34	2	878	2	10	4	2	1	277	4	1	43	3	1	2	3	3	3815	5972	1	1	17	3	4	80	1	5	4	4	5	3	2	0
Ind204	No	40	1	905	2	19	2	2	1	281	3	1	99	3	2	3	4	2	2741	16523	8	1	15	3	3	80	1	15	2	4	7	2	3	7
Ind205	Yes	38	1	1180	2	29	1	2	1	282	2	1	70	3	2	5	1	2	6673	11354	7	1	19	3	2	80	0	17	2	3	1	0	0	0
Ind206	Yes	29	1	121	1	27	3	3	1	283	2	2	35	3	3	1	4	2	7639	24525	1	2	22	4	4	80	3	10	3	2	10	4	1	9
Ind207	No	22	1	1136	2	5	3	1	1	284	4	1	60	4	1	2	2	3	2328	12392	1	1	16	3	1	80	1	4	2	2	4	2	2	2
Ind208	No	36	2	635	2	18	1	2	1	286	2	2	73	3	1	3	4	1	2153	7703	1	2	13	3	1	80	0	8	2	3	8	1	1	7
Ind209	No	40	3	1151	2	9	5	1	1	287	4	1	63	2	2	5	4	2	4876	14242	9	2	14	3	4	80	1	5	5	1	3	2	0	2
Ind210	No	46	1	644	2	1	4	2	1	288	4	1	97	3	3	5	1	3	9396	12368	7	2	16	3	3	80	1	17	3	3	4	2	0	3
Ind211	Yes	32	1	1045	1	4	4	2	1	291	4	1	32	1	3	1	4	2	10400	25812	1	2	11	3	3	80	0	14	2	2	14	8	9	8
Ind212	No	30	3	829	2	1	1	1	1	292	3	1	88	2	3	4	3	1	8474	20925	1	2	22	4	3	80	0	12	2	3	11	8	5	8
Ind213	No	27	2	1242	1	20	3	1	1	293	4	2	90	3	2	1	3	1	9981	12916	1	2	14	3	4	80	0	7	2	3	7	7	0	7
Ind214	No	51	1	1469	2	8	4	1	1	296	2	1	81	2	3	8	2	2	12490	15736	5	2	16	3	4	80	2	16	5	1	10	9	4	7
Ind215	Yes	30	1	1005	2	3	3	4	1	297	4	2	88	3	1	2	1	1	2657	8556	5	1	11	3	3	80	0	8	5	3	5	2	0	4
Ind216	No	41	1	896	1	6	3	1	1	298	4	2	75	3	3	6	4	1	13591	14674	3	1	18	3	3	80	0	16	3	3	1	0	0	0
Ind217	Yes	30	2	334	1	26	4	3	1	299	3	2	52	2	2	1	1	1	6696	22967	5	2	15	3	3	80	0	9	5	2	6	3	0	1
Ind218	Yes	29	1	992	2	1	3	4	1	300	3	1	85	3	1	2	3	1	2058	19757	0	2	14	3	4	80	0	7	1	2	6	2	1	5
Ind219	No	45	3	1052	1	6	3	2	1	302	4	2	57	2	3	1	4	1	8865	16840	6	2	12	3	4	80	0	23	2	3	19	7	12	8
Ind220	No	54	1	1147	1	3	3	3	1	303	4	2	52	3	2	1	1	2	5940	17011	2	2	14	3	4	80	1	16	4	3	6	2	0	5
Ind221	No	36	1	1396	2	5	2	1	1	304	4	1	62	3	2	3	2	1	5914	9945	8	2	16	3	4	80	0	16	3	4	13	11	3	7
Ind222	No	33	1	147	2	4	4	2	1	305	3	2	47	2	1	2	2	2	2622	13248	6	2	21	4	4	80	0	7	3	3	3	2	1	1
Ind223	No	37	2	663	2	11	3	6	1	306	2	1	47	3	3	8	4	3	12185	10056	1	1	14	3	3	80	3	10	1	3	10	8	0	7
Ind224	No	38	1	119	1	3	3	1	1	307	1	1	76	3	3	1	3	3	10609	9647	0	2	12	3	3	80	2	17	6	2	16	10	5	13
Ind225	No	31	3	979	2	1	4	2	1	308	3	1	90	1	2	4	3	2	4345	4381	0	2	12	3	4	80	1	6	2	3	5	4	1	4
Ind226	No	59	1	142	2	3	3	1	1	309	3	1	70	2	1	2	4	2	2177	8456	3	2	17	3	1	80	1	7	6	3	1	0	0	0
Ind227	No	37	2	319	1	4	4	3	1	311	1	1	41	3	1	7	4	3	2793	2539	4	2	17	3	3	80	1	13	2	3	9	8	5	8
Ind228	No	29	2	1413	1	1	1	2	1	312	2	2	42	3	3	1	4	2	7918	6599	1	2	14	3	4	80	1	11	5	3	11	10	4	1
Ind229	No	35	2	944	1	1	3	3	1	314	3	2	92	3	3	1	3	1	8789	9096	1	2	14	3	1	80	0	10	3	4	10	7	0	8
Ind230	Yes	29	1	896	2	18	1	2	1	315	3	1	86	2	1	2	4	1	2389	14961	1	1	13	3	3	80	0	4	3	2	4	3	0	1
Ind231	No	52	1	1323	2	2	3	1	1	316	3	2	89	2	1	3	4	1	3212	3300	7	2	15	3	2	80	0	6	3	2	2	2	2	2
Ind232	No	42	1	532	2	4	2	4	1	319	3	1	58	3	5	6	4	2	19232	4933	1	2	11	3	4	80	0	22	3	3	22	17	11	15
Ind233	No	59	1	818	3	6	2	2	1	321	2	1	52	3	1	9	3	2	2267	25657	8	2	17	3	4	80	0	7	2	2	2	2	2	2
Ind234	No	50	1	854	1	1	4	2	1	323	4	2	68	3	5	6	4	3	19517	24118	3	2	11	3	3	80	1	32	3	2	7	0	0	6
Ind235	Yes	33	1	813	2	14	3	2	1	325	3	1	58	3	1	3	4	2	2436	22149	5	1	13	3	3	80	1	8	2	1	5	4	0	4
Ind236	No	43	1	1034	1	16	3	3	1	327	4	2	80	3	4	6	4	2	16064	7744	5	1	22	4	3	80	1	22	3	3	17	13	1	9
Ind237	Yes	33	1	465	2	2	2	1	1	328	1	2	39	3	1	3	1	2	2707	21509	7	2	20	4	1	80	0	13	3	4	9	7	1	7
Ind238	No	52	3	771	1	2	4	1	1	329	1	1	79	2	5	6	3	1	19068	21030	1	1	18	3	4	80	0	33	2	4	33	7	15	12
Ind239	No	32	1	1401	1	4	2	1	1	330	3	2	56	3	1	7	2	2	3931	20990	2	2	11	3	1	80	1	6	5	3	4	3	1	2
Ind240	Yes	32	1	515	2	1	3	1	1	331	4	1	62	2	1	3	3	1	3730	9571	0	1	14	3	4	80	0	4	2	1	3	2	1	2
Ind241	No	39	1	1431	2	1	4	2	1	332	3	2	96	3	1	3	3	3	2232	15417	7	2	14	3	3	80	3	7	1	3	3	2	1	2
Ind242	No	32	3	976	1	26	4	3	1	333	3	1	100	3	2	1	4	2	4465	12069	0	2	18	3	1	80	0	4	2	3	3	2	2	2
Ind243	No	41	1	1411	2	19	2	1	1	334	3	1	36	3	2	2	1	3	3072	19877	2	2	16	3	1	80	2	17	2	2	1	0	0	0
Ind244	No	40	1	1300	2	24	2	4	1	335	1	1	62	3	2	2	4	3	3319	24447	1	2	17	3	1	80	2	9	3	3	9	8	4	7
Ind245	No	45	1	252	2	1	3	6	1	336	3	1	70	4	5	6	4	2	19202	15970	0	2	11	3	3	80	1	25	2	3	24	0	1	7
Ind246	No	31	2	1327	2	3	4	2	1	337	2	1	73	3	3	8	3	3	13675	13523	9	2	12	3	1	80	1	9	3	3	2	2	2	2
Ind247	No	33	1	832	2	5	4	1	1	338	3	2	63	2	1	2	4	2	2911	14776	1	2	13	3	3	80	1	2	2	2	2	2	0	2
Ind248	No	34	1	470	2	2	4	1	1	339	4	1	84	2	2	4	1	2	5957	23687	6	2	13	3	2	80	1	13	3	3	11	9	5	9
Ind249	No	37	1	1017	2	1	2	2	1	340	3	2	83	2	1	2	1	2	3920	18697	2	2	14	3	1	80	1	17	2	2	3	1	0	2
Ind250	No	45	2	1199	2	7	4	1	1	341	1	1	77	4	2	4	3	2	6434	5118	4	2	17	3	4	80	1	9	1	3	3	2	0	2
Ind251	Yes	37	2	504	2	10	3	2	1	342	1	1	61	3	3	4	3	3	10048	22573	6	2	11	3	2	80	2	17	5	3	1	0	0	0
Ind252	No	39	2	505	2	2	4	4	1	343	3	2	64	3	3	5	3	1	10938	6420	0	2	25	4	4	80	0	20	1	3	19	6	11	8
Ind253	No	29	1	665	2	15	3	1	1	346	3	1	60	3	1	2	4	1	2340	22673	1	2	19	3	1	80	0	6	1	3	6	5	1	5
Ind254	No	42	1	916	2	17	2	1	1	347	4	2	82	4	2	2	1	1	6545	23016	3	1	13	3	3	80	0	10	1	3	3	2	0	2
Ind255	No	29	1	1247	1	20	2	3	1	349	4	1	45	3	2	1	4	3	6931	10732	2	2	14	3	4	80	1	10	2	3	3	2	0	2
Ind256	No	25	1	685	2	1	3	1	1	350	1	2	62	3	2	4	3	2	4898	7505	0	2	12	3	4	80	2	5	3	3	4	2	1	2
Ind257	No	42	1	269	2	2	3	2	1	351	4	2	56	2	1	3	1	3	2593	8007	0	1	11	3	3	80	1	10	4	3	9	6	7	8
Ind258	No	40	1	1416	2	2	2	2	1	352	1	1	49	3	5	8	3	3	19436	5949	0	2	19	3	4	80	1	22	5	3	21	7	3	9
Ind259	No	51	1	833	2	1	3	1	1	353	3	1	96	3	1	2	4	2	2723	23231	1	2	11	3	2	80	0	1	0	2	1	0	0	0
Ind260	Yes	31	2	307	2	29	2	2	1	355	3	1	71	2	1	3	2	1	3479	11652	0	2	11	3	2	80	0	6	2	4	5	4	1	4
Ind261	No	32	2	1311	2	7	3	1	1	359	2	1	100	4	1	3	2	2	2794	26062	1	2	20	4	3	80	0	5	3	1	5	1	0	3
Ind262	No	38	3	1327	1	2	2	1	1	361	4	1	39	2	2	1	4	2	5249	19682	3	2	18	3	4	80	1	13	0	3	8	7	7	5
Ind263	No	32	1	128	2	2	1	4	1	362	4	1	84	2	2	3	1	1	2176	19737	4	2	13	3	4	80	0	9	5	3	6	2	0	4
Ind264	No	46	1	488	1	2	3	4	1	363	3	2	75	1	4	6	2	2	16872	14977	3	1	12	3	2	80	1	28	2	2	7	7	7	7
Ind265	Yes	28	1	529	2	2	4	1	1	364	1	1	79	3	1	3	3	1	3485	14935	2	2	11	3	3	80	0	5	5	1	0	0	0	0
Ind266	No	29	1	1210	1	2	3	2	1	366	1	1	78	2	2	1	2	2	6644	3687	2	2	19	3	2	80	2	10	2	3	0	0	0	0
Ind267	No	31	1	1463	2	23	3	2	1	367	2	1	64	2	2	5	4	2	5582	14408	0	2	21	4	2	80	1	10	2	3	9	0	7	8
Ind268	No	25	3	675	2	5	2	1	1	369	2	1	85	4	2	5	1	3	4000	18384	1	2	12	3	4	80	2	6	2	3	6	3	1	5
Ind269	No	45	1	1385	2	20	2	2	1	372	3	1	79	3	4	5	4	2	13496	7501	0	1	14	3	2	80	0	21	2	3	20	7	4	10
Ind270	No	36	1	1403	2	6	3	1	1	373	4	1	47	3	1	3	4	2	3210	20251	0	2	11	3	3	80	1	16	4	3	15	13	10	11
Ind271	No	55	1	452	2	1	3	2	1	374	4	1	81	3	5	6	1	1	19045	18938	0	1	14	3	3	80	0	37	2	3	36	10	4	13
Ind272	Yes	47	3	666	2	29	4	1	1	376	1	1	88	3	3	6	2	2	11849	10268	1	1	12	3	4	80	1	10	2	2	10	7	9	9
Ind273	No	28	1	1158	2	9	3	2	1	377	4	1	94	3	1	2	4	2	2070	2613	1	2	23	4	4	80	1	5	3	2	5	2	0	4
Ind274	No	37	1	228	1	6	4	2	1	378	3	1	98	3	2	1	4	2	6502	22825	4	2	14	3	2	80	1	7	5	4	5	4	0	1
Ind275	No	21	1	996	2	3	2	2	1	379	4	1	100	2	1	2	3	1	3230	10531	1	2	17	3	1	80	0	3	4	4	3	2	1	0
Ind276	No	37	3	728	2	1	4	2	1	380	1	2	80	3	3	8	4	3	13603	11677	2	1	18	3	1	80	2	15	2	3	5	2	0	2
Ind277	No	35	1	1315	2	22	3	1	1	381	2	2	71	4	3	6	2	3	11996	19100	7	2	18	3	2	80	1	10	6	2	7	7	6	2
Ind278	No	38	1	322	1	7	2	2	1	382	1	2	44	4	2	1	1	3	5605	19191	1	1	24	4	3	80	1	8	3	3	8	0	7	7
Ind279	No	26	2	1479	2	1	3	1	1	384	3	2	84	3	2	4	2	3	6397	26767	1	2	20	4	1	80	1	6	6	1	6	5	1	4
Ind280	No	50	1	797	2	4	1	1	1	385	1	1	96	3	5	8	2	3	19144	15815	3	2	14	3	1	80	2	28	4	2	10	4	1	6
Ind281	No	53	1	1070	2	3	4	2	1	386	3	1	45	3	4	8	3	2	17584	21016	3	1	16	3	4	80	3	21	5	2	5	3	1	3
Ind282	No	42	1	635	1	1	1	1	1	387	2	1	99	3	2	1	3	2	4907	24532	1	2	25	4	3	80	0	20	3	3	20	16	11	6
Ind283	No	29	2	442	1	2	2	1	1	388	2	1	44	3	2	1	4	1	4554	20260	1	2	18	3	1	80	0	10	3	2	10	7	0	9
Ind284	No	55	1	147	2	20	2	4	1	389	2	1	37	3	2	3	4	2	5415	15972	3	1	19	3	4	80	1	12	4	3	10	7	0	8
Ind285	No	26	2	496	2	11	2	2	1	390	1	1	60	3	2	5	1	2	4741	22722	1	1	13	3	3	80	1	5	3	3	5	3	3	3
Ind286	No	37	1	1372	2	1	3	1	1	391	4	2	42	3	1	2	4	1	2115	15881	1	2	12	3	2	80	0	17	3	3	17	12	5	7
Ind287	Yes	44	2	920	2	24	3	1	1	392	4	1	43	3	1	3	3	3	3161	19920	3	1	22	4	4	80	1	19	0	1	1	0	0	0
Ind288	No	38	1	688	2	23	4	1	1	393	4	1	82	3	2	5	4	3	5745	18899	9	2	14	3	2	80	1	10	2	3	2	2	1	2
Ind289	Yes	26	1	1449	2	16	4	2	1	394	1	1	45	3	1	3	2	3	2373	14180	2	1	13	3	4	80	1	5	2	3	3	2	0	2
Ind290	No	28	1	1117	2	8	2	1	1	395	4	2	66	3	1	2	4	1	3310	4488	1	2	21	4	4	80	0	5	3	3	5	3	0	2
Ind291	No	49	2	636	2	10	4	1	1	396	3	2	35	3	5	8	1	1	18665	25594	9	1	11	3	4	80	0	22	4	3	3	2	1	2
Ind292	No	36	1	506	2	3	3	4	1	397	3	1	30	3	2	2	2	1	4485	26285	4	2	12	3	4	80	0	10	2	3	8	0	7	7
Ind293	No	31	2	444	1	5	3	3	1	399	4	2	84	3	1	7	2	3	2789	3909	1	2	11	3	3	80	1	2	5	2	2	2	2	2
Ind294	Yes	26	1	950	1	4	4	3	1	401	4	1	48	2	2	1	4	1	5828	8450	1	1	12	3	2	80	0	8	0	3	8	7	7	4
Ind295	No	37	2	889	2	9	3	2	1	403	2	1	53	3	1	2	4	2	2326	11411	1	1	12	3	3	80	3	4	3	2	4	2	1	2
Ind296	No	42	2	555	1	26	3	3	1	404	3	2	77	3	4	1	2	2	13525	14864	5	2	14	3	4	80	1	23	2	4	20	4	4	8
Ind297	Yes	18	1	230	2	3	3	1	1	405	3	1	54	3	1	3	3	1	1420	25233	1	2	13	3	3	80	0	0	2	3	0	0	0	0
Ind298	No	35	1	1232	1	16	3	3	1	406	3	1	96	3	3	1	2	2	8020	5100	0	2	15	3	3	80	2	12	3	2	11	9	6	9
Ind299	No	36	2	566	2	18	4	1	1	407	3	1	81	4	1	3	4	2	3688	7122	4	2	18	3	4	80	2	4	2	3	1	0	0	0
Ind300	No	51	1	1302	2	2	3	2	1	408	4	1	84	1	2	4	2	3	5482	16321	5	2	18	3	4	80	1	13	3	3	4	1	1	2
Ind301	No	41	1	334	1	2	4	1	1	410	4	1	88	3	4	6	2	1	16015	15896	1	2	19	3	2	80	0	22	2	3	22	10	0	4
Ind302	No	18	1	812	1	10	3	2	1	411	4	2	69	2	1	7	3	1	1200	9724	1	2	12	3	1	80	0	0	2	3	0	0	0	0
Ind303	No	28	1	1476	2	16	2	2	1	412	2	1	68	4	2	5	1	1	5661	4824	0	2	19	3	3	80	0	9	2	3	8	3	0	7
Ind304	No	31	1	218	1	7	3	4	1	416	2	1	100	4	2	1	4	2	6929	12241	4	2	11	3	2	80	1	10	3	2	8	7	7	7
Ind305	No	39	1	1132	2	1	3	2	1	417	3	1	48	4	3	5	4	3	9613	10942	0	2	17	3	1	80	3	19	5	2	18	10	3	7
Ind306	No	36	3	1105	2	24	4	1	1	419	2	2	47	3	2	3	2	2	5674	6927	7	2	15	3	3	80	1	11	3	3	9	8	0	8
Ind307	No	32	1	906	1	7	3	1	1	420	4	1	91	2	2	1	3	2	5484	16985	1	2	14	3	3	80	1	13	3	2	13	8	4	8
Ind308	No	38	1	849	2	25	2	1	1	421	1	2	81	2	3	8	2	2	12061	26707	3	2	17	3	3	80	1	19	2	3	10	8	0	1
Ind309	No	58	3	390	2	1	4	1	1	422	4	1	32	1	2	5	3	3	5660	17056	2	1	13	3	4	80	1	12	2	3	5	3	1	2
Ind310	No	31	1	691	2	5	4	4	1	423	3	1	86	3	1	2	4	2	4821	10077	0	1	12	3	3	80	1	6	4	3	5	2	0	3
Ind311	No	31	1	106	3	2	3	5	1	424	1	1	62	2	2	9	1	2	6410	17822	3	2	12	3	4	80	0	9	1	3	2	2	1	0
Ind312	No	45	2	1249	2	7	3	1	1	425	1	1	97	3	3	3	1	3	5210	20308	1	2	18	3	1	80	1	24	2	3	24	9	9	11
Ind313	No	31	1	192	2	2	4	1	1	426	3	1	32	3	1	2	4	3	2695	7747	0	1	18	3	2	80	1	3	2	1	2	2	2	2
Ind314	No	33	2	553	2	5	4	1	1	428	4	2	74	3	3	6	2	2	11878	23364	6	2	11	3	2	80	2	12	2	3	10	6	8	8
Ind315	No	39	1	117	2	10	1	2	1	429	3	1	99	3	4	6	1	2	17068	5355	1	1	14	3	4	80	0	21	3	3	21	9	11	10
Ind316	No	43	2	185	2	10	4	1	1	430	3	2	33	3	1	3	4	1	2455	10675	0	2	19	3	1	80	0	9	5	3	8	7	1	7
Ind317	No	49	1	1091	2	1	2	4	1	431	3	2	90	2	4	5	3	1	13964	17810	7	1	12	3	4	80	0	25	2	3	7	1	0	7
Ind318	Yes	52	1	723	2	8	4	2	1	433	3	1	85	2	2	2	2	2	4941	17747	2	2	15	3	1	80	0	11	3	2	8	2	7	7
Ind319	No	27	1	1220	2	5	3	1	1	434	3	2	85	3	1	2	2	1	2478	20938	1	1	12	3	2	80	0	4	2	2	4	3	1	2
Ind320	No	32	1	588	1	8	2	4	1	436	3	2	65	2	2	1	2	2	5228	24624	1	1	11	3	4	80	0	13	2	3	13	12	11	9
Ind321	No	27	1	1377	1	2	3	1	1	437	4	1	74	3	2	1	3	1	4478	5242	1	1	11	3	1	80	0	5	3	3	5	4	0	4
Ind322	No	31	1	691	1	7	3	3	1	438	4	1	73	3	2	1	4	3	7547	7143	4	2	12	3	4	80	3	13	3	3	7	7	1	7
Ind323	No	32	1	1018	2	2	4	2	1	439	1	2	74	4	2	2	4	1	5055	10557	7	2	16	3	3	80	0	10	0	2	7	7	0	7
Ind324	Yes	28	1	1157	2	2	4	2	1	440	1	1	84	1	1	2	4	2	3464	24737	5	1	13	3	4	80	0	5	4	2	3	2	2	2
Ind325	No	30	1	1275	2	28	2	2	1	441	4	2	64	3	2	2	4	2	5775	11934	1	2	13	3	4	80	2	11	2	3	10	8	1	9
Ind326	No	31	2	798	2	7	2	1	1	442	3	2	48	2	3	4	3	2	8943	14034	1	2	24	4	1	80	1	10	2	3	10	9	8	9
Ind327	No	39	2	672	2	7	2	2	1	444	3	1	54	2	5	6	4	2	19272	21141	1	2	15	3	1	80	1	21	2	3	21	9	13	3
Ind328	Yes	39	1	1162	1	3	2	2	1	445	4	2	41	3	2	1	3	2	5238	17778	4	1	18	3	1	80	0	12	3	2	1	0	0	0
Ind329	No	33	2	508	1	10	3	3	1	446	2	1	46	2	2	1	4	1	4682	4317	3	2	14	3	3	80	0	9	6	2	7	7	0	1
Ind330	No	47	1	1482	2	5	5	1	1	447	4	1	42	3	5	8	3	2	18300	16375	4	2	11	3	2	80	1	21	2	3	3	2	1	1
Ind331	No	43	2	559	2	10	4	1	1	448	3	2	82	2	2	3	3	3	5257	6227	1	2	11	3	2	80	1	9	3	4	9	7	0	0
Ind332	No	27	3	210	1	1	1	3	1	449	3	1	73	3	2	1	2	2	6349	22107	0	1	13	3	4	80	1	6	0	3	5	4	1	4
Ind333	No	54	2	928	2	20	4	1	1	450	4	2	31	3	2	2	3	1	4869	16885	3	2	12	3	4	80	0	20	4	2	4	3	0	3
Ind334	No	43	1	1001	2	7	3	1	1	451	3	2	43	3	3	5	1	2	9985	9262	8	2	16	3	1	80	1	10	1	2	1	0	0	0
Ind335	No	45	1	549	2	8	4	6	1	452	4	1	75	3	2	2	4	2	3697	9278	9	2	14	3	1	80	2	12	3	3	10	9	9	8
Ind336	No	40	1	1124	1	1	2	2	1	453	2	1	57	1	2	1	4	2	7457	13273	2	1	22	4	3	80	3	6	2	2	4	3	0	2
Ind337	Yes	29	1	318	2	8	4	6	1	454	2	1	77	1	1	3	1	2	2119	4759	1	1	11	3	4	80	0	7	4	2	7	7	0	7
Ind338	No	29	1	738	2	9	5	6	1	455	2	1	30	2	1	3	4	1	3983	7621	0	2	17	3	3	80	0	4	2	3	3	2	2	2
Ind339	No	30	1	570	1	5	3	3	1	456	4	2	30	2	2	1	3	3	6118	5431	1	2	13	3	3	80	3	10	2	3	10	9	1	2
Ind340	No	27	1	1130	1	8	4	3	1	458	2	2	56	3	2	1	2	2	6214	3415	1	2	18	3	1	80	1	8	3	3	8	7	0	7
Ind341	No	37	1	1192	2	5	2	2	1	460	4	1	61	3	2	4	4	3	6347	23177	7	2	16	3	3	80	2	8	2	2	6	2	0	4
Ind342	No	38	1	343	2	15	2	1	1	461	3	1	92	2	3	8	4	3	11510	15682	0	1	14	3	2	80	1	12	3	3	11	10	2	9
Ind343	No	31	1	1232	2	7	4	2	1	462	3	2	39	3	3	4	4	1	7143	25713	1	1	14	3	3	80	0	11	2	2	11	9	4	10
Ind344	No	29	1	144	1	10	1	3	1	463	4	2	39	2	2	1	2	3	8268	11866	1	1	14	3	1	80	2	7	2	3	7	7	1	7
Ind345	No	35	1	1296	2	5	4	4	1	464	3	1	62	3	3	4	2	1	8095	18264	0	2	13	3	4	80	0	17	5	3	16	6	0	13
Ind346	No	23	1	1309	2	26	1	1	1	465	3	1	83	3	1	2	4	3	2904	16092	1	2	12	3	3	80	2	4	2	2	4	2	0	2
Ind347	No	41	1	483	2	6	3	2	1	466	4	1	95	2	2	4	2	1	6032	10110	6	1	15	3	4	80	0	8	3	3	5	4	1	2
Ind348	No	47	2	1309	1	4	1	2	1	467	2	1	99	3	2	7	3	1	2976	25751	3	2	19	3	1	80	0	5	3	3	0	0	0	0
Ind349	No	42	1	810	2	23	5	1	1	468	1	2	44	3	4	8	4	1	15992	15901	2	2	14	3	2	80	0	16	2	3	1	0	0	0
Ind350	No	29	3	746	1	2	3	1	1	469	4	1	61	3	2	1	3	2	4649	16928	1	2	14	3	1	80	1	4	3	2	4	3	0	2
Ind351	No	42	1	544	3	2	1	4	1	470	3	1	52	3	1	9	3	3	2696	24017	0	1	11	3	3	80	1	4	5	3	3	2	1	0
Ind352	No	32	1	1062	2	2	3	2	1	471	3	2	75	3	1	3	2	2	2370	3956	1	2	13	3	3	80	1	8	4	3	8	0	0	7
Ind353	No	48	1	530	1	29	1	2	1	473	1	2	91	3	3	6	3	2	12504	23978	3	2	21	4	2	80	1	15	3	1	0	0	0	0
Ind354	No	37	1	1319	2	6	3	2	1	474	3	1	51	4	2	2	1	3	5974	17001	4	1	13	3	1	80	2	13	2	3	7	7	6	7
Ind355	No	30	3	641	1	25	2	4	1	475	4	2	85	3	2	1	3	2	4736	6069	7	1	12	3	2	80	1	4	2	4	2	2	2	2
Ind356	No	26	1	933	1	1	3	1	1	476	3	1	57	3	2	1	3	2	5296	20156	1	2	17	3	2	80	1	8	3	3	8	7	7	7
Ind357	No	42	1	1332	2	2	4	6	1	477	1	1	98	2	2	5	4	1	6781	17078	3	2	23	4	2	80	0	14	6	3	1	0	0	0
Ind358	Yes	21	2	756	1	1	1	4	1	478	1	2	99	2	1	7	2	1	2174	9150	1	1	11	3	3	80	0	3	3	3	3	2	1	2
